,sno,state,City,Place,Best_time_to_visit,Distance,Place_desc
0,1,HIMACHAL PRADESH,Manali, 1. Capture the Sceneries of Old Manali ,October-June, 2 km  from city center ," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. "
1,2,HIMACHAL PRADESH,Manali, 2. Engage in the Adventures of Solang Valley ,October-June, 8 km  from city center ," Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners.  "
2,3,HIMACHAL PRADESH,Manali, 3. Jogini Waterfall ,October-June, 4 km  from city center , Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.  
3,4,HIMACHAL PRADESH,Manali, 4. Hadimba Temple ,October-June, 1 km  from city center ," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. "
4,5,HIMACHAL PRADESH,Manali, 5. Rohtang Pass ,October-June, 16 km  from city center ," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.  "
5,6,HIMACHAL PRADESH,Manali, 6. Parvati Valley ,October-June, 6 out of 50  places to visit in Manali ," Parvati Valley is famous for the backpacker hangouts, and adventure activities. It is also a popular amongst hippie travellers for its famous charas (hashish), rave parties, and spiritual experience. Kasol, Malana, Tosh, Kalga, Pulga, Rasol, Kheerganga and Chalal are some of the vilages located in Parvati Valley. "
6,7,HIMACHAL PRADESH,Manali, 7. Sethan Valley ,October-June, 3 km  from city center ," Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding. "
7,8,HIMACHAL PRADESH,Manali, 8. Gulp some Maggi by the Jana Waterfall ,October-June, 11 km  from city center , Jana Waterfall is a 30 feet high watefall located near Manali in a quaint village called Jana. One has to trek to the waterfall through dense deodar and pine trees amidst snow-capped mountains. The climb is easier compared to many others in the region and can be completed by beginner level hikers too.  There's a wooden bridge laid perpendicular to the direction of Jana Falls which trekkers use to walk across. There is seating arrangement near the waterfall. 
8,9,HIMACHAL PRADESH,Manali, 9. Arjun Gufa ,October-June, 0 km  from city center , Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be explained in words.  
9,10,HIMACHAL PRADESH,Manali, 10. Peek into the History of Manu Temple ,October-June, 2 km  from city center ," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. "
10,11,HIMACHAL PRADESH,Manali, 11. Bathe in the Hot Springs of Manikaran ,October-June, 28 km  from city center ," Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country. "
11,12,HIMACHAL PRADESH,Manali, 12. Paraglide in the Skies ,October-June, 2 km  from city center ," The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy. 
 "
12,13,HIMACHAL PRADESH,Manali, 13. Atal Tunnel ,October-June, 17 km  from city center ," Also referred to as the Rohtang Tunnel, Atal Tunnel is a horseshoe-shaped highway tunnel that connects Manali and the Lahaul-Spiti valley, reducing the time taken by around 4-5 hours. Named after the former prime minister Atal Bihari Vajpayee, the tunnel is the world’s longest one above 10,000 feet and is constructed in the Pir Panjal ranges, under the Rohtang Pass. It is an all-weather tunnel that has made possible the entry into the valley, which is usually landlocked during the winter months. The tunnel’s North End brings visitors into Sissu, which is surrounded by high peaks.
 "
13,14,HIMACHAL PRADESH,Manali, 14. Sissu ,October-June, 27 km  from city center ," Also known as Khwaling, Sissu in Lahaul, Himachal Pradesh, is situated on the right bank of Chandra River. A drive out of the North End of the Rohtang/Atal Tunnel will bring tourists into Sissu, set amidst high peaks like the Gyephang Goh. It draws many visitors owing to the breathtaking view of the waterfall, locally called Palden Lhamo dhar. Tea stalls provide refreshments while Hotel Triveni, Hotel Plm Dhara and several homestays offer accommodation.  "
14,15,HIMACHAL PRADESH,Manali, 15. Take a Dip in the Vashisht Baths ,October-June, 1 km  from city center ," Located inside the very famous Vashisht Temple in Manali, Vashisht Baths is a hot water spring, believed to possess medicinal values. Also known as Vashisht Springs, it is visited by a lot of tourists, many of whom take a dip in the holy water to rid themselves of skin diseases and infections. "
15,16,HIMACHAL PRADESH,Manali, 16. Tour in the Museum of Himachal Culture & Folk Art ,October-June, 1 km  from city center ," Museum of Himachal Culture & Folk Art has a beautiful collection of ancient and traditional heritage belonging to the region. The antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of Himachal Pradesh.  "
16,17,HIMACHAL PRADESH,Manali, 17. Picnic in Van Vihar ,October-June, 0 km  from city center ," Adorned with sky touching deodar trees, Van Vihar National Park,is located near the Mall Road making it easily accessible. The favourite attraction of this park is a man-made lake that is open for boating.


 "
17,18,HIMACHAL PRADESH,Manali, 18. Rafting ,October-June, 18 out of 50  places to visit in Manali ,"  River Rafting in Manali is done along the River Beas and is considered ideal for expert rafters as well as beginners. The section of rafting starts from a small district called Pirdi, usually at 10:00 AM and takes about 1.5 hours. It is open throughout the week and people are advised to avoid the time when there is heavy rainfall which can lead to the rise in water level. The total cost of rafting in Kullu-Manali ranges from INR 500 to INR 2000 per person.
 "
18,19,HIMACHAL PRADESH,Manali, 19. Naggar ,October-June, 14 km  from city center ," Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity. "
19,20,HIMACHAL PRADESH,Manali, 20. Bhrigu Lake ,October-June, 8 km  from city center , Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude locations like Switzerland.  
20,21,HIMACHAL PRADESH,Manali, 21. Kullu ,October-June, 32 km  from city center ," This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines. "
21,22,HIMACHAL PRADESH,Manali, 22. Adventure Activities ,October-June, 12 km  from city center ," Manali is the hub of adventure activities in Himachal Pradesh. From white river rafting to trekking opportunities to zorbing to horse-riding to skiing to paragliding, Manali has everything to offer. "
22,23,HIMACHAL PRADESH,Manali, 23. Ski in the chilling snow ,October-June, 9 km  from city center ," A major tourist spot of North India, Manali is known for its excellent skiing conditions with skiing enthusiasts visiting from all over the country. The undulating slopes of Solang Valley and Rohtang Pass are perfect for skiing. They are popular for amateurs to learn their first move while ideal grounds for professional skiing in Manali. So, if you are an adventure lover, leave yourself in the hands of your professional trainers to feel the thrill of skiing in the picturesque setting of Manali. "
23,24,HIMACHAL PRADESH,Manali, 24. Trek to Cafes in Malana ,October-June, 21 km  from city center ," This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind. "
24,25,HIMACHAL PRADESH,Manali, 25. Himalaya Nyingmapa Buddhist Temple ,October-June, 0 km  from city center ," Himalayan Nyingmapa Gompa is a Buddhist Monastery located in Manali and is one of the most famous monasteries situated in north India. Its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.  "
25,26,HIMACHAL PRADESH,Manali, 26. Hike through the Kothi Village ,October-June, 8 km  from city center , Kothi Village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. Most trekkers on their way to Rohtang Pass often camp at the village. 
26,27,HIMACHAL PRADESH,Manali, 27. Trek through The Great Himalayan National Park ,October-June, 63 km  from city center ," The newest addition to the list of National parks in India, The Great Himalayan National Park is quickly becoming what the wildlife scene in the region is being identified with and defined by. "
27,28,HIMACHAL PRADESH,Manali, 28. Dwell the landscape of Gulaba ,October-June, 0 km  from city center ," Gulaba is a beautiful little village located about 20 kilometres from Manali on the route to Rohtang Pass. Gulaba has an enchanting natural landscape that attracts tourists in large numbers. One can explore the region trekking, set up a camp to soak in its natural beauty.  "
28,29,HIMACHAL PRADESH,Manali, 29. Rahala Falls ,October-June, 11 km  from city center , Rahala Falls is a well-known picnic spot for locals and tourists on their way to Rohtang Pass from Manali often halt to explore the waterfall. The water found at the Rahala Falls is usually cold as the water comes from a melting glacier situated in the Himalayas. The surrounding is thickly vegetated with deodar and Silver Birch trees.  
29,30,HIMACHAL PRADESH,Manali, 30. Trek to the Beas Kund ,October-June, 17 km  from city center ," The Beas Kund trek is a perfect weekend getaway trek with outstanding views of Pir Pinjal mountain ranges over the Beas river. let your soul get wooed by the spectacular meadows of Dhundi and Bakarthach and finally, the glacial lake at Beas Kund which is worth all the hiking. "
30,31,HIMACHAL PRADESH,Manali, 31. Trek the Hampta Pass ,October-June, 1 km  from city center ," Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape. "
31,32,HIMACHAL PRADESH,Manali, 32. Chill at the Club House ,October-June, 2 km  from city center ," Club House located in Old Manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. The Club House is said to be one such place in Manali that has something for everyone whether it is indoor games/ sports, entertainment or recreational activities.  "
